group	gene_name	dar_type	mean_expr
day3_white	SNX10	beige	0.445600764594185
day3_white	AK5	white	0.384034845072543
day3_white	MIR100HG	white	2.75091615575274
day3_white	PXYLP1	white	0.206644421855838
day3_white	TRABD2A	white	1.74750223569908
day3_white	MED8	beige	13.7863339112093
day3_white	EMG1	beige	3.21778692174966
day3_white	AC008014.1	white	0.267864131883901
day3_white	FAM47E	beige	0.0233086822288406
day3_white	PARP15	beige	0.0222680014066097
day3_white	MMP2	white	443.436900829277
day3_white	AC007637.1	beige	1.06080191891922
day3_white	PDE3B	beige	7.25806559948962
day3_white	CCK	beige	0.00677816927384421
day3_white	RBMS1	white	10.8384853021824
day3_white	ZFYVE28	beige	0.213044833003739
day3_white	EHD2	white	96.7085838758788
day3_white	SIX3	beige	0.0130330674320199
day3_white	ACADVL	beige	95.6417165140959
day3_white	CHPT1	beige	3.88004742514719
day3_white	NPY1R	beige	0.156966884086783
day3_white	YPEL4	white	0.233605783848959
day3_white	DUS4L	white	0.352619052884018
day3_white	SYT5	white	0.110351194641695
day3_white	STON1-GTF2A1L	beige	0.150322014461181
day3_white	COL1A2	white	468.105919734529
day3_white	SLC7A7	white	0.239856141526948
day3_white	TRO	white	2.46476709680561
day3_white	UTRN	beige	8.30191920683463
day3_white	ANK1	beige	0.012206198413682
day3_white	VDR	white	0.932937285200705
day3_white	FSTL1	white	440.889528187821
day3_white	TANC2	white	1.3190890745786
day3_white	LRCH2	white	1.30727840331936
day3_white	MAPK10	beige	0.205469544538873
day3_white	FBXO27	beige	1.68347136884007
day3_white	SCARB1	white	3.28690699093979
day3_white	TMEM104	beige	6.52027125318849
day3_white	NFASC	white	1.7512236217445
day3_white	HSD11B1-AS1	beige	2.00661438169334
day3_white	MIA3	white	18.9458720014252
day3_white	SDHB	beige	16.0543075635952
day3_white	RBKS	white	0.257652818079895
day3_white	CNTFR	beige	2.43377616573329
day3_white	BAALC	white	0.0885878471219072
day3_white	CORO7	white	0.095887820638566
day3_white	SMG6	white	3.89727001420445
day3_white	MYEOV	white	0.0331457046933597
day3_white	ACKR4	beige	1.137696067891
day3_white	BCL3	beige	1.41092887982189
day3_white	SSBP3	white	7.53742601392514
day3_white	UBE2Q2L	white	0.095420606871069
day3_white	GIPR	beige	4.26747764235526
day3_white	PSMA1	beige	6.33777322625344
day3_white	GPD1	beige	102.262431808966
day3_white	ZBTB46	beige	0.0248068515826569
day3_white	LRRK2	white	0.601481256850718
day3_white	MIR4435-2HG	white	0.0743468254741541
day3_white	FGF13-AS1	beige	0.0143203832584787
day3_white	AC002401.2	beige	0.257952172395058
day3_white	HP	beige	5.22864705705587
day3_white	PTK2	white	4.32019962117062
day3_white	CPEB1-AS1	beige	0.0355540466164553
day3_white	AXL	white	9.9806165234542
day3_white	SASH1	white	9.45359621670912
day3_white	HEPH	white	3.9591146244088
day3_white	TPRG1	white	0.632887550542132
day3_white	THBS3	white	4.18896797621928
day3_white	LAIR1	beige	0.0723548331963328
day3_white	ATR	beige	1.61913465612136
day3_white	TUBGCP2	beige	4.82834468452929
day3_white	ENPP4	beige	0.237356065808939
day3_white	POR	beige	33.4239140026
day3_white	GDF15	white	1.15190148955048
day3_white	PDK2	beige	2.49394318887293
day3_white	ELMOD3	beige	3.5269780384909
day3_white	PLA2G2A	beige	22.9634559065102
day3_white	C17orf58	beige	1.38278460227027
day3_white	STAR	beige	2.19760820818137
day3_white	MIR155HG	white	0.118218056386949
day3_white	SLC43A3	white	0.989947924141031
day3_white	AL049749.1	beige	0.125506609705721
day3_white	KRT18	white	0.37822876143942
day3_white	GPR1	white	1.94115228656717
day3_white	ASS1	beige	65.6896299953998
day3_white	TNK2	beige	0.706749849704098
day3_white	STMN2	white	2.15259118857862
day3_white	ILVBL	beige	4.42813680552683
day3_white	ITIH5	beige	2.03155581077174
day3_white	FAM228A	beige	0.0680329186006484
day3_white	TRIM6	white	0.458960336877666
day3_white	LINC00513	white	0.074713190584875
day3_white	SEPTIN11	white	85.0907344722416
day3_white	PTK2B	beige	5.17413760580204
day3_white	SLC8A2	beige	0.0102926465614074
day3_white	SLC2A3	white	3.11481839607704
day3_white	MROH6	beige	0.270844733421441
day3_white	ABHD5	beige	22.6389610558515
day3_white	DIXDC1	beige	10.7981417112305
day3_white	PHYHD1	beige	2.27615918196219
day3_white	IL1RAPL1	white	0.0610044192934687
day3_white	C6	beige	0.211606452134366
day3_white	PLIN4	beige	81.9242867919594
day3_white	RAI14	white	3.22530729758951
day3_white	C19orf12	beige	22.7636490835756
day3_white	GSDMD	beige	1.13854123052679
day3_white	ECHDC2	beige	5.75010142758821
day3_white	SHROOM3	beige	0.045325243088451
day3_white	HOTAIR	beige	0.482486018658879
day3_white	SORT1	beige	79.2772297330782
day3_white	HSPB2-C11orf52	white	0.0810906380196528
day3_white	WNK1	white	21.0242185660733
day3_white	LRRC9	beige	0.0119848419016726
day3_white	CRYAB	white	67.6478599923616
day3_white	ITFG2	beige	2.44863486364994
day3_white	PIP4K2A	white	9.04160309166577
day3_white	METRNL	white	2.30180133221413
day3_white	SQOR	white	0.690906374697508
day3_white	AC104389.5	white	0.0352766937282369
day3_white	ZBTB38	white	5.04857010237629
day3_white	GCOM1	white	0.0891865463566143
day3_white	GPT	beige	1.1281592330131
day3_white	VPS9D1	beige	2.50001466005768
day3_white	FAM47E-STBD1	beige	0.00820701490960675
day3_white	CFLAR	white	13.3541253903529
day3_white	CTSA	beige	23.7511416365571
day3_white	WNK4	white	1.97505453545421
day3_white	ARHGAP22	white	0.365901056911844
day3_white	MYZAP	white	0.129344423523623
day3_white	ZSWIM4	white	0.230652174702255
day3_white	LPAR3	beige	0.329588285100406
day3_white	COL11A1	white	4.12241528858208
day3_white	PDZD2	beige	0.0764905221910807
day3_white	CARD16	white	0.0368288069741614
day3_white	AL109615.3	white	0.00641582229907061
day3_white	AC016831.1	white	0.245806931796931
day3_white	PSMA4	beige	18.1530009475214
day3_white	MRPL33	white	28.8587325317397
day3_white	FHL2	white	4.44156181437392
day3_white	ZNF808	beige	1.49350059722294
day3_white	IFI44L	white	0.732039374014857
day3_white	LLPH-DT	white	0.159442006741496
day3_white	EIF3H	white	23.6857801667176
day3_white	LPL	beige	41.2138720685473
day3_white	AL365295.1	white	0.0977143375987711
day3_white	AC025031.4	white	0.0415925021790161
day3_white	ZNF584	beige	2.08190720566996
day3_white	RUFY3	white	2.88314260497901
day3_white	CHI3L2	beige	7.26883211013155
day3_white	AQP7	beige	11.0626197168741
day3_white	STON1	beige	4.28858540301895
day3_white	ANGPTL4	beige	23.3881141625515
day3_white	POLD4	white	0.855990685798806
day3_white	AP000662.1	white	0.753286774853881
day3_white	AC091212.1	white	0.12853077642615
day3_white	SEPTIN9-DT	beige	0.397083092955504
day3_white	CD34	beige	1.45657911909279
day3_white	NAPRT	beige	1.42736329333355
day3_white	AC005082.1	beige	0.039717782384879
day3_white	BBC3	white	0.745078333158789
day3_white	VIT	white	39.7484327117579
day3_white	ACAD11	beige	0.756723275261603
day3_white	XKR5	beige	0.00467433433466435
day3_white	PDK4	beige	65.233543156368
day3_white	MBP	beige	0.151960601028059
day3_white	AC017002.3	white	0.0685583382273756
day3_white	PCK1	beige	2.56219786505746
day3_white	PLEC	white	2.2842832209628
day3_white	MEST	white	87.5358905921114
day3_white	G0S2	beige	182.449315318526
day3_white	NEURL2	beige	0.399807531758933
day3_white	ADRB1	beige	0.0530254132972487
day3_white	NAV1	beige	13.9200127713903
day3_white	STC2	white	14.0642588585477
day3_white	DVL2	beige	4.76956369267922
day3_white	ILRUN	beige	28.634735358772
day3_white	PLCL1	white	0.40757448100388
day3_white	NWD2	beige	0.00172757464092414
day3_white	TH2LCRR	beige	0.0453076268409251
day3_white	HAVCR2	beige	0.11471248916891
day3_white	LINC00887	white	0.112677470476781
day3_white	NRCAM	beige	55.6259357210763
day3_white	EMB	beige	0.00512073960549605
day3_white	MXRA8	white	27.3892200571294
day3_white	KRT8	white	0.187252765845232
day3_white	DLGAP1	beige	0.00222378932396138
day3_white	NAPA	white	6.29104912964016
day3_white	LRBA	beige	5.59833462877353
day3_white	C1RL	white	15.5877898174331
day3_white	NFIA	beige	2.0142783433615
day3_white	LMO7-AS1	white	0.0646026320878979
day3_white	AL137782.1	white	0.061837808175232
day3_white	AMPD3	white	0.454820801659834
day3_white	CAPN10-DT	beige	0.475796490903065
day3_white	ACACB	beige	48.7429650036436
day3_white	AOPEP	white	0.315864534908052
day3_white	SRCIN1	beige	0.214123184409343
day3_white	AL133299.1	beige	0.0315447335875553
day3_white	KIAA1217	white	1.22710304488807
day3_white	AC007906.2	white	0.906606259036732
day3_white	AC116003.1	white	0.0378497278278457
day3_white	PNMA8C	beige	0.00792110676651949
day3_white	MESTIT1	white	0.13428862369081
day3_white	CLEC11A	white	20.7869114286398
